BUNDLE:ORIGINAL,dc_title,dc_creator,dc_date_issued,dc_description_abstract,dc_identifier
6351548.pdf,Fast hierarchical reprojection algorithm for tomography,"['Bresler, Yoram', 'Basu, Samit Kumar']",2002-02-26,"A method for reprojecting images into sinograms includes the steps of dividing a two-dimensional image into sub-images as small as one pixel and reprojecting the sub-images at a smaller number of orientations to form subsinograms. These sub-sinograms are then successively aggregated and processed to form a full sinogram.The method uses two algorithms to aggregate the sub-sinograms. In one algorithm, the aggregation is exact, and in the other algorithm, aggregation is an approximation. The first algorithm is accurate, but relatively slow, and the second algorithm is faster, but less accurate. By performing some aggregations with the exact algorithm and some aggregations with the approximate algorithm, switching between the two algorithms in one of a number of suitable ways, an accurate result can be obtained quickly.",6351548
6358717.pdf,Method of producing butanol using a mutant strain of Clostridium beijerinckii,"['Blaschek, Hans P.', 'Annous, Bassam', 'Formanek, Joseph', 'Chen, Chih-Kuang']",2002-03-19,The present invention relates to a method of producing high levels of butanol using a fermentation process that employs a mutant strain of Clostridium beijerinckii.,6358717
6361888.pdf,Toughening of ceramic composites by transformation weakening of interphases,"['Kriven, Waltraud M.', 'Lee, Sang-Jin']",2002-03-26,"Generally, this invention provides a toughened ceramic composite and a method of enhancing the mechanical strength of ceramic matrix composites through use of a transformation weakened interphase material. The ceramic composite provided in this invention includes a ceramic matrix, a second material as a second phase, and a metastable interphase material. The metastable interphase material is positioned between the ceramic matrix and the second phase material. The ceramic composite can include reinforcing elements such as fibers, whisker-shapes, platelets and particulates or have laminated or fibrous monolithic geometries. The metastable interphase material is capable of undergoing a shear or stress induced zero volume or negative volume, martensitic phase transformation, which may or may not be accompanied by a crystallographic unit cell shape change. In one embodiment, the metastable interphase material includes &bgr;-cristobalite.",6361888
6364936.pdf,Selective sorption and desorption of gases with electrically heated activated carbon fiber cloth element,"['Rood, Mark J.', 'Sullivan, Patrick', 'Hay, K. James']",2002-04-02,"An adsorption/desorption unit includes a hollow enclosure containing one or more elongate hollow elements of activated carbon fiber cloth (ACFC) of appropriate length to cross sectional area to provide suitable electrical resistance for heating. The elements conduct electrical current to heat to a temperature that permits selective adsorption of a gas stream constituent and subsequent desorption to recover sorbate. An enclosure houses the ACFC elements and is arranged to direct gas stream flow through the elements and into and out of the enclosure via gas ports. The ability to heat the elements to a desired temperature by electrical current flow allows for straightforward implementation of selective adsorption. After an adsorption step, altering the temperature of the element or elements enables desorption. In a particularly preferred embodiment, the enclosure with the element also includes a liquid condensate outlet and liquid sorbate is directly recovered as liquid from the same unit used for adsorption and desorption.",6364936
6368558.pdf,Colorimetric artificial nose having an array of dyes and method for artificial olfaction,"['Suslick, Kenneth S.', 'Rakow, Neal A.']",2002-04-09,"The present invention involves an artificial nose having an array comprising at least a first dye and a second dye in combination and having a distinct spectral response to an analyte. In one embodiment, the first and second dyes are from the group comprising porphyrin, chlorin, chlorophyll, phthalocyanine, or salen. In a further embodiment, the first and second dyes are metalloporphyrins. The present invention is particularly useful in detecting metal ligating vapors. Further, the array of the present invention can be connected to a visual display device.",6368558
6368830.pdf,Hyperactive mutants of Himar1 transposase and methods for using the same,"['Robertson, Hugh D.', 'Akerley, Brian J.', 'Rubin, Eric J.', 'Lampe, David J.']",2002-04-09,"Mariner-family transposable elements are active in a wide variety of organisms and are becoming increasingly important genetic tools in species lacking sophisticated genetics. The Himar1 element, a member of the mariner family, isolated from the horn fly, Haematobia irritans, is active in Escherichia coli when expressed appropriately. Using this fact, a genetic screen was devised to isolate hyperactive mutants of Himar1 transposase that enhance overall transposition from 4 to 50-fold as measured in an E. coli assay. These hyperactive Himar1 mutant transposases should enable sophisticated analysis of the biochemistry of mariner transposition and should improve efficiency of a variety of genetic manipulations involving transposition in vivo and in vitro such as random mutagenesis or transgenesis in a wide range of host cells than the transposable elements previously available.",6368830
6400773.pdf,Section division operating point determination method for multicarrier communication systems,"['Jones, Douglas L.', 'Ramchandran, Kannan', 'Krongold, Brian Scott']",2002-06-04,"Optimum bit rates and power levels are determined for subchannels in multicarrier communication systems. A tangent of the rate-power curve has a slope &lgr;. The slope is defined by the quotient difference between high/low power and high/low rate. A particular &lgr; is evaluated to find its corresponding total power followed by an update of &lgr;, in the form of an increase or decrease, to get closer to the optimal solution. Each &lgr; is evaluated to find the optimal operating point for each subchannel on the rate-power curve by summing the power allocated to the subchannels, and comparing the result to the power budget. Look-up tables are stored for individual channels, but similarity between channels permits joint use of look-up tables by multiple channels. The tables are used to determine the rate-power characteristics at each iteration. An optimal solution is found when either a newly chosen power allocation meets the power budget exactly or a newly chosen power budget equals the high or low power of a previous iteration.",6400773
6410934.pdf,Silicon nanoparticle electronic switches,"['Therrien, Joel M.', 'Nayfeh, Munir H.', 'Smith, Adam D.']",2002-06-25,"An electronic fast switch for operation at room temperature utilizing uniform silicon nanoparticles (&#732;1 nm with about 1 part per thousand exceeding 1 nm) between two conducting electrodes. The silicon nanoparticles, when on an n-type silicon substrate exhibit, at zero bias, a large differential conductance, approaching near full transparency. The conductance is observed after one of the electrode is first biased at a voltage in the range 3 to 5 eV (switching voltage), otherwise the device does not conduct (closed). A practical MOSFET switch of the invention includes the silicon nanoparticles in a body of the MOSFET, with the gate and substrate forming the two conducting electrodes. Electrodes may be realized by metal in other switches of the invention.",6410934
6418006.pdf,Wide tuning range variable MEMs capacitor,"['Liu, Chang', 'Zou, Jun']",2002-07-09,"A MEM capacitor having a capacitance plate nearer a movable plate than a separate bias plate. Voltage potential between the bias plate and movable plate determines the value of capacitance between the movable plate and the capacitance plate. In a preferred MEM capacitor, the movable plate is suspended over two fixed plates, a bias plate and a capacitance plate. The movable plate is disposed opposite both the bias plate and the capacitance plate. A distance between opposing surfaces of the capacitance plate and the movable plate is less than a distance between the bias plate and the capacitance plate. Preferably, the relative difference in distances between the plates is accomplished by a mechanically suspended movable plate that is shaped to have portions in at least two separate planes.",6418006
6420519.pdf,Modifying tissue surfaces by liquid crystal formation,"['Stupp, Samuel I.', 'Hwang, Julia J.']",2002-07-16,A method for modifying the surface properties of tissue in vivo is described. The method comprises forming a liquid crystalline matrix on the tissue surface by contacting the surface with a composition comprising a poly(hydroxy substituted amino acid). Compositions comprising a poly(hydroxy substituted amino acid) and synovial fluid are also provided.,6420519
6423538.pdf,Yeast cell surface display of proteins and uses thereof,"['Kranz, David M.', 'Wittrup, K. Dane', 'Boder, Eric T.', 'Keike, Michele']",2002-07-23,"The present invention provides a genetic method for tethering polypeptides to the yeast cell wall in a form accessible for binding to macromolecules. Combining this method with fluorescence-activated cell sorting provides a means of selecting proteins with increased or decreased affinity for another molecule, altered specificity, or conditional binding. Also provided is a method for genetic fusion of the N terminus of a polypeptide of interest to the C-terminus of the yeast Aga2p cell wall protein. The outer wall of each yeast cell can display approximately 104 protein agglutinins. The native agglutinins serve as specific adhesion contacts to fuse yeast cells of opposite mating type during mating. If effect, yeast has evolved a platform for protein-protein binding without steric hindrance from cell wall components. As one embodiment, attaching an scFv antibody fragment to the Aga2p agglutinin effectively mimics the cell surface display of antibodies by B cells in the immune system for affinity maturation in vivo. As another embodiment, T cell receptor mutants can be isolated by this method that are efficiently displayed on the yeast cell surface, providing a means of altering T cell receptor binding affinity and specificity by library screening.",6423538
6426973.pdf,Differential minimum mean squared error communication signal compensation method,"['Madhow, Upamanyu', 'Zhu, Liping Julia', 'Galup, Luis']",2002-07-30,"This invention reformulates the MMSE criterion to apply to systems in which the desired data to be tracked is the ratio of the data appearing in successive observation intervals. The resulting differential MMSE criterion leads to a number of novel algorithms for adaptive implementation of the MMSE receiver. Applications include equalization for single user systems, and multiuser detection, or interference suppression, for direct sequence CDMA with short spreading sequences (i.e., the period of the spreading sequence equals the symbol interval). The invention also provides blind (i.e., without the requirement of a training symbol sequence for the user of interest) equalization and beamforming (using a receive antenna array) for direct sequence CDMA systems with long spreading sequences (i.e., systems in which the spreading sequences are aperiodic, or have period much larger than the symbol interval). The invention enables recovery of the desired symbol sequence up to an unknown phase. The invention is therefore well suited to the demodulation of differentially modulated data, in which information is encoded in the phase differences of successive transmitted symbols. Assuming that the channel amplitude and phase is approximately constant over two successive symbol intervals, the demodulator can use the differences in phases of two successive received symbols to recover differentially encoded data. The invention may also be used in conjunction with a separate phase recovery method to demodulate data without differential modulation.",6426973
6433146.pdf,Corn oil and protein extraction method,"['Cheryan, Munir']",2002-08-13,"The invention is a corn product removal process that successfully extracts oil and zein from dry-milled corn. Oils and zein are extracted from corn using ethanol. Corn solids are separated from the ethanol, oil and zein mixture produced in the step of extracting. Thereafter, the ethanol, oil and zein mixture are membrane filtered to restrain zein from the mixture and pass an oil and ethanol mixture. At least one of zein or oil is then selected to be separated for an output corn product.",6433146
6434556.pdf,Visualization of Internet search information,"['Levin, James A.', 'Kauwell, Daniel A.']",2002-08-13,A method and system for presenting a visual representation of search results relating to information on a computer network. A complex relevance rating scheme for generating a relevance rating for each match of the search results. The display space is defined with a display space relevance profile. A visual representation of the matches is determined and positioned within the display space according to the match relevance rating and the display space relevance profile.,6434556
6442463.pdf,Fuzzy steering controller,"['Zhang, Qin', 'Reid, John', 'Qiu, Hongchu']",2002-08-27,"A fuzzy steering controller for wheel-type agricultural vehicles with an electrohydraulic steering system is disclosed. The fuzzy controller was developed based on a common-sense model of agricultural vehicle steering. The controller implements steering corrections based upon the desired steering rate and the error between the desired and the actual wheel angles. The controller consists of a variable fuzzifier, an inference engine with a steering control rulebase, and a control signal defuzzifier. The controller could be used on different platforms. Tuning of the fuzzy membership functions will accommodate for physical differences between the platforms. The controller achieves prompt and accurate steering control performance on both a hardware-in-the-loop electrohydraulic steering simulator and on an agricultural tractor.",6442463
6444533.pdf,Semiconductor devices and methods for same,"['Hess, Karl', 'Lyding, Joseph W.']",2002-09-03,Described are preferred processes for conditioning semiconductor devices with deuterium to improve operating characteristics and decrease depassivation which occurs during the course of device operation. Also described are semiconductor devices which can be prepared by such processes.,6444533
6446088.pdf,Application-directed variable-granularity caching and consistency management,"['Vaduvur, Bharghavan', 'Dwyer, Dane']",2002-09-03,"A system and method for application-directed variable-granularity consistency management, in one embodiment, carries out the steps of: predefining a template specifying a structure of a file; imposing the template on the file including registering fields/records within the file for consistency; creating an index table for the file; detecting a write to the file, at one of a file system server and a file system client; and queuing, upon detecting the write to the file and in the event a portion of the file to which the write occurs is registered for consistency, the write for propagation to another of the file system server and the file system client. The system and method may employ an application program that predefines a template specifying a structure of a file and imposes the template on the file including registering fields/records within the file for consistency; and further employs a file system that creates an index table for the file; detects a write to the file, at one of a file system server and a file system client; and queues, upon detecting the write to the file and in the event a portion of the file to which the write occurs is registered for consistency, the write for propagation to another of the file system server and the file system client.",6446088
6451094.pdf,Apparatus and method for removal of vapor phase contaminants from a gas stream by in-situ activation of carbon-based sorbents,"['Chang, Ramsay', 'Rostam-Abadi, Massoud', 'Chen, Shiaoguo']",2002-09-17,"A process for removing vapor phase contaminants from a gas stream includes the step of adding a raw carbonaceous starting material into a gas stream having an activation temperature sufficient to convert the raw carbonaceous starting material into an activated material in-situ. The activated material then adsorbs the vapor phase contaminants, and the activation material containing the vapor phase contaminants is removed from the gas stream using a particulate collection device. The process is particularly suited for the removal of vapor phase air toxics, such as mercury, from the flue gas of a combustion process. An apparatus for the removal of vapor phase contaminants from a gas stream is also described.",6451094
6456072.pdf,Method and apparatus for simultaneous acquisition of high resolution NMR spectra from multiple samples,"['Sweedler, Jonathan V.', 'Webb, Andrew G.']",2002-09-24,An apparatus for obtaining multiple spectra from a plurality of samples through the use of nuclear magnetic resonance (NMR) spectroscopy. A plurality of microcoils are coupled to and are in operable communication with an NMR spectrometer. The coils are operable in both a transmit mode and a receive mode to transmit RF energy to a sample being analyzed and to receive the return data for analysis by the NMR spectrometer. At least one switch is coupled to the plurality of coils and the NMR spectrometer. A controller for the NMR spectrometer is coupled to the switch and is used to control alternative activation of the coils for NMR data acquisition of multiple samples.,6456072
6456423.pdf,Silicon nanoparticle microcrystal nonlinear optical devices,"['Nayfeh, Munir H.', 'Belomoin, Gennadiy', 'Barry, Nicholas', 'Akcakir, Osman']",2002-09-24,"Harmonic incident radiation is obtained from a silicon nanoparticle microcrystal or microcrystal film. The preferred film comprises silicon nanoparticles, dimensioned on the order of one nanometer, reconstituted into a device quality crystalline film. The microcrystal film emits the second harmonic of incident radiation for excitations in the range of about 600-1000 nm. A preferred device according to the invention includes a silicon nanoparticle microcrystal film formed on a substrate, such as silicon or glass. Crystals of the silicon nanoparticles, due to the harmonic response, also demonstrate the capability to serve as piezoelectric material and as an improved biological marker. Since the emission response of the silicon nanoparticle crystals will be influenced by surrounding electric fields, the microcrystals also provide for electrochromatic mapping of electric field distribution in general and in electronic devices.",6456423
6488872.pdf,Microfabricated devices and method of manufacturing the same,"['Moore, Jeffrey S.', 'Beebe, David J.']",2002-12-03,"Microfabricated devices and methods of manufacturing the devices are disclosed. The devices are manufactured from a substrate having microscale fluid channels, and polymerizing a polymerizable mixture in the channels to form stimuli-responsive operating components of the device. The operating components can be functional or structural components. The method of manufacture obviates the traditional assembly of microscale components to form a device because the microscale components are formed in situ on or within the device.",6488872
6495102.pdf,Colorimetric artificial nose having an array of dyes and method of artificial olfaction,"['Suslick, Kenneth S.', 'Rakow, Neal A.', 'Sen, Avijit']",2002-12-17,"The present invention involves an artificial nose having an array comprising at least a first dye and a second dye in combination and having a distinct spectral response to an analyte. In one embodiment, the first and second dyes are from the group comprising porphyrin, chlorin, chlorophyll, phthalocyanine, or salen. In a further embodiment, the first and second dyes are metalloporphyrins. The present invention is particularly useful in detecting metal ligating vapors. Further, the array of the present invention can be connected to a wavelength sensitive light detecting device.",6495102
6503729.pdf,"Selected polynucleotide and polypeptide sequences of the methanogenic archaeon, methanococcus jannashii","['Venter, J. Craig', 'White, Owen R.', 'Bult, Carol J.', 'Smith, Hamilton O.', 'Woese, Carl R.']",2003-01-07,"The present application describes selected polynucleotide sequence from the 1.66-megabase pair genome sequence of an autotrophic archaeon, Methanococcus jannaschii, and its 58- and 16-kilobase pair extrachromosomal elements.",6503729
6508962.pdf,Carbon fiber ion exchanger,"['Economy, James', 'Benak, Kelly', 'Dominguez, Lourdes']",2003-01-21,"A composite, contains substrate fibers, and carbon ion exchanger, on the substrate fibers. The fiber provides a support to the carbon ion exchanger, resulting in excellent mechanical properties, compared to carbon fiber ion exchangers.",6508962
6517906.pdf,Activated organic coatings on a fiber substrate,"['Economy, James', 'Mangun, Christian L.', 'Yue, Zhongren']",2003-02-11,"A composite contains substrate fibers, and an activated organic coating, on the substrate fibers. The activated organic coating is formed at a low temperature, making possible the use of substrate fibers have a softening or decomposition temperature of at most 500&deg; C.",6517906
6518168.pdf,Self-assembled monolayer directed patterning of surfaces,"['Whitesides, George M.', 'Payne, David A.', 'Xia, Younan', 'Mrksich, Milan', 'Clem, Paul G.', 'Jeon, Noo Li', 'Nuzzo, Ralph G.']",2003-02-11,"A technique for creating patterns of material deposited on a surface involves forming a self-assembled monolayer in a pattern on the surface and depositing, via chemical vapor deposition or via sol-gel processing, a material on the surface in a pattern complementary to the self-assembled monolayer pattern. The material can be a metal, metal oxide, or the like. The surface can be contoured, including trenches or holes, the trenches or holes remaining free of self-assembled monolayer while the remainder of the surface is coated. When exposed to deposition conditions, metal or metal oxide is deposited in the trenches or holes, and remaining portions of the article surface remain free of deposition. The technique finds particular use in creation of conductive metal pathways selectively within holes passing from one side of a substrate to another.",6518168
6518330.pdf,Multifunctional autonomically healing composite material,"['Moore, Jeffrey S.', 'White, Scott R.', 'Sottos, Nancy R.', 'Geubelle, Philippe H.', 'Sriram, Suresh R.', 'Kessler, Michael Richard', 'Brown, Eric N.']",2003-02-11,"A composite material, contains a polymer, a polymerizer, a corresponding catalyst for the polymerizer, and a plurality of capsules. The polymerizer is in the capsules. The composite material is self-healing.",6518330
6533734.pdf,Time-integrated sampler of bodily fluid,"['Corley, III, Robert N.', 'Murphy, Michael R.', 'Panno, Samuel V.']",2003-03-18,"An apparatus and corresponding method obtains time-integrated samples of fluid from the rumens of cattle, sheep, goats or other animals through a cannula. The apparatus allows ruminal fluid to be sampled under standard conditions. It reduces the labor required to obtain samples and allows dynamic fermentation patterns to be followed. The apparatus includes a ceramic filter connected to a sampling tube assembly. The filter is placed in the rumen and vented to atmosphere by a first tube. A second tube connects an inside region of the filter to a peristaltic pump which removes fluid for time-integrated sampling.",6533734
6541915.pdf,High pressure arc lamp assisted start up device and method,"['Eden, James G.', 'Park, Sung-Jin', 'Gao, Ju', 'Wagner, Clark J.']",2003-04-01,"Start-up and re-ignition of a high pressure arc lamp are aided by injection of electrons toward a high pressure arc lamp electrode. A microdischarge device directs electrons toward an electrode of the arc lamp and is preferably turned off during normal operation of the arc lamp. The harsh environment of an arc lamp requires the microdischarge to be made from robust materials, such as ceramics, semiconductors or tungsten, for example. In the present invention, the discharge design must allow, preferably through a screen anode, for the escape of electrons from the microdischarge. This invention results in a decrease in the voltage required to start-up or re-ignite a lamp.",6541915
6563025.pdf,Nucleotide sequences encoding anthranilate synthase,"['Widholm, Jack M.', 'Song, Hee-Sook', 'Brotherton, Jeffrey E.']",2003-05-13,"A 5-methyltryptophan resistant Nicotiana anthranilate synthase genes are disclosed, in particular the ASA2 gene of Nicotiana tabacum. Constructs containing the genes are also disclosed. This genes are useful for transforming plant cells and producing transformed plants and progenies which, compared to untransformed plant cells and plants, are more resistant to tryptophan analogs and/or produce increased levels of tryptophan. The transformed seeds are also disclosed. The genes are also useful as selectable markers. The amino acid sequence of ASA2, purified ASA2, and recombinant ASA2 are also disclosed.",6563025
6563257.pdf,Multilayer ceramic microdischarge device,"['Eden, J. Gary', 'Vojak, Bruce A.', 'Park, Sung-Jin', 'Wagner, Clark J.']",2003-05-13,"A discharge device of the invention includes multiple bonded ceramic layers with electrodes formed between the layers. It can be combined with the various MCIC technologies to produce myriad useful devices. Contacts are made to the electrodes, which may be grouped in different arrangements. The electrodes contact a hole through some or all of the ceramic layers to define a discharge cavity. Different groupings of the electrodes will produce different types of discharge. Alternating the electrodes in interdigitated pairs permits an arbitrary extension of the discharge cavity length. Having consecutive anodes or cathodes permits formation of regions where electrons may cool. Another device of the invention includes a multilayer ceramic structure having a hole formed in a least one outer layer through an electrode on the outer side of the layer and in contact with an electrode between two layers. A contact is formed to the electrode between layers through any remaining layers in the multilayer ceramic structure.",6563257
6566125.pdf,Use of enzymes to reduce steep time and SO2 requirements in a maize wet-milling process,"['Johnston, David B.', 'Singh, Vijay', 'Eckhoff, Steven R.']",2003-05-20,"A method for obtaining starch from maize involving soaking maize kernels in water to produce soaked maize kernels, grinding the soaked maize kernels to produce a ground maize slurry, and incubating the ground maize slurry with enzyme (e.g., protease).",6566125
6572670.pdf,Colored metal clay and colored metals,"['Theide, Billie Jean', 'VisGirda, Rimas T.']",2003-06-03,"A composition for forming metal objects includes (a) first particles containing a jewelry-metal, and (b) second particles containing a refractory metal oxide. The composition allows the preparation of jewelry-metal in a large variety of colors.",6572670
6573428.pdf,Soybean promoter expressed preferentially in pods,"['Vodkin, Lila', 'Stromvik, Martina', 'Sundararaman, Vijaya']",2003-06-03,"This application discloses the tissue-specific transcription regulatory sequences from the soybean Msg, gene, which is highly expressed in tissues which are potential sites of entry of plant pathogens or attack by plant pests, including the developing soybean pods. The Msg gene shows significant homology to a family of fruit and flower specific genes, designated the major latex protein (MLP) homologs, so far reported in only a few species and whose functions are unknown. The Msg transcription regulatory sequences are fully active in Arabidopsis only in plants transformed with the 2.26 kb fragment promoter, expressing an associated coding sequence in nectaries, nodes, short style and in guard cells of the silique, pedicel and stem but not in mature leaves. Methods for tissue specific sequence expression are provided in the present application.",6573428
6573734.pdf,Integrated thin film liquid conductivity sensor,"['Shannon, Mark A.', 'He, Dongming']",2003-06-03,"A thin film integrated conductivity sensor is formed on a suitable surface for measuring the electrical conductivity of a liquid. The surface is preferably an insulator, but may be conducting, if the electrodes are on an insulating surface. A preferred embodiment insulates the electrodes by use of a dielectric layer that is deposited on top of a silicon wafer substrate. A sensor tip is integrated on the top surface of the substrate. In a preferred embodiment, the substrate is fabricated into a sensor shape with a small sharp tip at one end and an opposite larger end for accommodating electrode pads. The larger end might also be used for integration of measurement circuits or accommodating bonding pads. In a preferred embodiment, the tip also accommodates an integrated temperature sensor to enable local temperature measurements. The sensor is a thin-film resistor preferably enclosed within a layer of the sensor tip and having a serpentine shape to produce significant resistance (hundreds to thousands of Ohms) while consuming a small area of the sensor tip.",6573734
6585947.pdf,Method for producing silicon nanoparticles,"['Therrien, Joel M.', 'Nayfeh, Munir H.', 'Yamani, Zain Hassan']",2003-07-01,"A method for producing the silicon nanoparticle of the invention is a gradual advancing electrochemical etch of bulk silicon. Separation of nanoparticles from the surface of the silicon may also be conducted. Once separated, various methods may be employed to form nanoparticles into colloids, crystals, films and other desirable forms. The particles may also be coated or doped.",6585947
6586216.pdf,Deregulation of glutamine PRPP amidotransferase activity,"['Zalkin, Howard', 'Switzer, Robert Lee', 'Smith, Janet L.']",2003-07-01,"The present invention is directed to a modified amidotransferase. The amino acid sequence of the modified amidotransferase differs from the amino acid sequence of a native E. coli glutamine PRPP amidotransferase in that one or more amino acid residues of the modified amidotransferase are substituted at positions equivalent to amino acid positions in Bacillus amidotransferase selected from the group consisting of 282, 283, 307, and 347 of SEQ ID NO:1, wherein the modified amidotransferase is less sensitive to end-product inhibition than is the native E. coli glutamine PRPP amidotransferase.",6586216
6586328.pdf,Method to metallize ohmic electrodes to P-type group III nitrides,"['Adesida, Ilesanmi', 'Zhou, Ling']",2003-07-01,The metallization method of the invention uses an oxide-forming metal layer to improve adhesion and getter surface contamination or oxides. A high work function metal is then formed on the oxide-forming layer. An anneal is conducted to diffuse the high work function on metal through the oxide-forming layer. One or more metal cap layers may top the high work function metal to protect the high work function metal.,6586328
6592921.pdf,Method of removing the hull from corn kernels,"['Taylor, Jr., Frank', 'Singh, Vijay']",2003-07-15,"A method of removing the hull from corn kernels wherein the method involves exposing the corn kernels to ammonia (e.g., gas-phase anhydrous) under conditions effective to remove the hull from corn kernels.",6592921
6597496.pdf,Silicon nanoparticle stimulated emission devices,"['Nayfeh, Munir H.', 'Barry, Nicholas', 'Akcakir, Osman']",2003-07-22,"The invention concerns elemental silicon emission devices. Devices according to the invention use elemental silicon nanoparticles as a material from which stimulated emissions are produced. Silicon nanoparticles efficiently produce emissions and act as a gain medium in response to excitation. The silicon nanoparticles of the invention, being dimensioned on an order of magnitude of one nanometer and having about 1 part per thousand or less larger than 1 nm, are an efficient emission source and forms the basis for many useful devices.",6597496
6599564.pdf,Substrate independent distributed bragg reflector and formation method,"['Cheng, Keh-Yung', 'Hsieh, Kuang-Chien']",2003-07-29,"Distributed Bragg reflectors may be formed in fewer layers by the method, which is capable of producing greater differences in indexes of refraction. Group III-V alternating layers are deposited. The microstructure of alternating layers is controlled to be different. A combination of alternating polycrystalline layers or amorphous and polycrystalline layers results. Alternate ones of the layers oxidize more quickly than the others. A lateral wet oxidation of the alternate ones of the layers produces a structure with large differences in indexes of refraction between adjacent layers. The microstructure between alternating layers may be controlled by controlling Group V overpressure alone or in combination with growth temperature.",6599564
6613317.pdf,Volatile attractants for diabrotica species,"['Metcalf, Robert L.', 'Lampman, Richard L.']",2003-09-02,"Disclosed are attractants and lures for attracting and controlling the adult form of Diabrotica species, in particular northern corn rootworm, useful individually or in mixtures and in combination with insecticides and compulsive feeding stimulants, such as cucurbitacins.",6613317
6624665.pdf,CMOS skewed static logic and method of synthesis,"['Kang, Sung-Mo', 'Kim, Chulwoo']",2003-09-23,"A new CMOS skewed static logic gate is provided having a logic function circuit and a positive feedback or accelerator circuit. The skewed gate uses a plurality of transistors matched and joined as a plurality of separate gate inputs to form the logic function circuit and the accelerator circuit. The accelerator circuit, which connects to an output of the logic function circuit, provides acceleration to the evaluation performed by the logic function circuit. The logic function circuit includes an evaluation path connected to a set of output transistors that connect to transistors of the accelerator circuit. The evaluation path includes a stacked set of low threshold voltage (Vt) transistors, which have a lower Vt than the set of output transistors. The output transistors are configured to receive a first input signal to precharge an output of the CMOS skewed static logic gate prior to the skewed gate receiving a second input signal.",6624665
6635206.pdf,"Method of manufacturing improved corn zein resin films, sheets, and articles","['Padua, Graciela Wild', 'Rakotonirainy, Andrianaivo Maherisoa', 'Ha, Toan Thanh']",2003-10-21,"A method of manufacturing sheets, films, and articles of manufacture from a corn zein resin. A wet corn zein resin is formed including corn zein and a fatty acid, and the wet zein resin is cold rolled into sheets. The sheets are dried, and the dried zein resin is processed to form sheets, films, and/or articles of manufacture.",6635206
6640315.pdf,Method and apparatus for enhancing instruction level parallelism,"['Hwu, Wen-mei W.', 'Connors, Daniel A.', 'August, David I.', 'Sias, John W.']",2003-10-28,"Disclosed is a method and system for handling inline recovery from speculatively executed instructions. Each register may be provided with an E-tag, that, when set, indicates an exception occurred in the generation of the value stored in its register, and an R-tag, which is used to manage data flow dependencies in recovery mode. Recovery is performed by re-executing speculatively those set of speculative instructions that are data flow dependent upon a first excepting speculative instruction. The disclosed invention provides an architecture and method for efficient exception handling when combining control speculation, data speculation and predication, thereby resulting in substantially enhanced instruction level parallelism.",6640315
6642129.pdf,"Parallel, individually addressable probes for nanolithography","['Zhang, Ming', 'Liu, Chang', 'Bullen, David Andrew']",2003-11-04,"A microfabricated probe array for nanolithography and process for designing and fabricating the probe array. The probe array consists of individual probes that can be moved independently using thermal bimetallic actuation or electrostatic actuation methods. The probe array can be used to produce traces of diffusively transferred chemicals on the substrate with sub-1 micrometer resolution, and can function as an arrayed scanning probe microscope for subsequent reading and variation of transferred patterns.",6642129
6649940.pdf,Separate lateral confinement quantum well laser,"['Coleman, James J.', 'Zediker, Mark S.', 'Swint, Reuel B.']",2003-11-18,A semiconductor quantum well laser having separate lateral confinement of injected carriers and the optical mode. A ridge waveguide is used to confine the optical mode. A buried heterostructure confines injected carriers. A preferred embodiment laser of the invention is a layered semiconductor structure including optical confinement layers. A buried heterojunction quantum well within the optical confinement layers is dimensioned and arranged to confine injected carriers during laser operation. A ridge waveguide outside the optical confinement layers is dimensioned and arranged with respect to the buried heterojunction to confine an optical mode during laser operation. An index step created by the buried heterojunction is substantially removed from the optical mode.,6649940
6651935.pdf,Method and apparatus for control of shock/boundary-layer interactions,"['Loth, Eric', 'White, Scott R.', 'Geubelle, Philippe H.', 'Alleyne, Andrew G.', 'Mcllwain, Stephen T.', 'Dutton, J. Craig', 'Tortorelli, Daniel', 'Davis, David']",2003-11-25,"Apparatus for controlling shock/boundary-layer interactions created by a supersonic shock on a surface of a structure, includes a cavity formed in the structure and having an opening on the surface. A plate is attached to the surface and covers the opening. A plurality of flaps are formed on the plate and is operable to cooperatively close the opening in response to subsonic airflow condition over the flaps, and open the opening to permit airflow through the cavity in response to supersonic airflow conditions over the flaps.",6651935
6660152.pdf,Elemental silicon nanoparticle plating and method for the same,"['Nayfeh, Munir H.', 'Belomoin, Gennadiy', 'Smith, Adam', 'Nayfeh, Taysir H.']",2003-12-09,"According to the invention, silicon nanoparticles are applied to a substrate using an electrochemical plating processes, analogous to metal plating. An electrolysis tank of an aqueous or non-aqueous solution, such as alcohol, ether, or other solvents in which the particles are dissolved operates at a current flow between the electrodes. In applying silicon nanoparticles to a silicon, metal, or non-conducting substrate, a selective area plating may be accomplished by defining areas of different conductivity on the substrate. Silicon nanoparticle composite platings and stacked alternating material platings are also possible. The addition of metal ions into the silicon nanoparticle solution produces a composite material plating. Either composite silicon nanoparticle platings or pure silicon nanoparticle platings may be stacked with each other or with convention metal platings.",6660152
